k,precision,recall
1,0.97,0.013806222432000108
2,0.96,0.027101247200903816
3,0.96,0.040780887354422896
4,0.9425,0.052583739672773834
5,0.932,0.06444018156887575
6,0.9283333333333333,0.07649619844418876
7,0.9185714285714286,0.08714520460869345
8,0.91375,0.09830540843629466
9,0.91,0.10953458645703151
10,0.898,0.11887841001201921
11,0.8872727272727273,0.12909406662752723
12,0.8758333333333334,0.13834531770458358
13,0.87,0.14824022732998768
14,0.8607142857142858,0.1576612269935714
15,0.852,0.1665295177370151
16,0.84625,0.1759142373736003
17,0.8394117647058823,0.18441832352968504
18,0.8316666666666667,0.19319996883446877
19,0.8257894736842105,0.2015076082699452
20,0.8165,0.20845387481210992
21,0.8038095238095239,0.21436320000525252
22,0.7986363636363636,0.22167621434101073
23,0.79,0.22776890519727971
24,0.7825,0.23389911511855657
25,0.7764,0.24032381273342954
26,0.7669230769230769,0.24540962349949125
27,0.7596296296296297,0.25095091027359745
28,0.7557142857142857,0.2573911907069952
29,0.7486206896551724,0.26310514619405956
30,0.7433333333333333,0.26878704899043204
31,0.7338709677419355,0.27313990663094145
32,0.7284375,0.28079034303658507
33,0.723030303030303,0.2858989470780179
34,0.716764705882353,0.29067313516019405
35,0.71,0.29561978997578703
36,0.7033333333333334,0.3009738593370866
37,0.697027027027027,0.30541161134481043
38,0.6897368421052632,0.309455596649602
39,0.6841025641025641,0.31436732440355497
40,0.68,0.31919884311421126
41,0.6734146341463415,0.3230447588486703
42,0.6685714285714286,0.32745047340668615
43,0.6632558139534884,0.33152251780149283
44,0.6570454545454546,0.33517175335785254
45,0.6511111111111111,0.33891613199066833
46,0.6456521739130435,0.3433171689413407
47,0.64,0.3466749560581601
48,0.6364583333333333,0.35185260007713803
49,0.6326530612244898,0.3564132667540852
50,0.6286,0.3602878543706858
51,0.625686274509804,0.36507328875204587
52,0.6219230769230769,0.3693034367715055
53,0.62,0.3753248343136603
54,0.6164814814814815,0.3798271666238848
55,0.6118181818181818,0.38305397125223306
56,0.6069642857142857,0.38595960866744755
57,0.6042105263157894,0.3905725001742508
58,0.6018965517241379,0.3956060806472753
59,0.5986440677966102,0.399320030847764
60,0.5958333333333333,0.4030783150026441
61,0.5926229508196721,0.4070978648273037
62,0.5888709677419355,0.410409274916978
63,0.5847619047619048,0.41338215774329384
64,0.581875,0.416906811781332
65,0.5793846153846154,0.42044487289473326
66,0.5762121212121212,0.42402885066434837
67,0.5726865671641791,0.42755951462629815
68,0.5692647058823529,0.4310555895787025
69,0.5655072463768116,0.43371592866808184
70,0.562,0.4372270366565534
71,0.5584507042253521,0.43986061561940387
72,0.5544444444444444,0.442455739234633
73,0.5516438356164384,0.44596470655608345
74,0.5494594594594595,0.44949698817857736
75,0.5462666666666667,0.45219915963216745
76,0.5435526315789474,0.45503671378421884
77,0.5396103896103897,0.4570476470356219
78,0.5366666666666666,0.4599059382544883
79,0.5339240506329114,0.4625647989470874
80,0.5305,0.46516214535792516
81,0.5270370370370371,0.46796798670255946
82,0.5245121951219512,0.4708682547385806
83,0.5207228915662651,0.4723857706001419
84,0.5183333333333333,0.4754127383554895
85,0.5154117647058823,0.4777210256653015
86,0.5136046511627907,0.48107811234031883
87,0.5111494252873563,0.483439150635327
88,0.5080681818181818,0.4853958815168527
89,0.5055056179775281,0.4876951889733908
90,0.5028888888888889,0.48988291706443626
91,0.5010989010989011,0.4926697764398481
92,0.4984782608695652,0.4948159479367684
93,0.49612903225806454,0.49736188218423694
94,0.4938297872340425,0.5001177876685223
95,0.4921052631578947,0.5026990760171077
96,0.49,0.504900473077306
97,0.4881443298969072,0.5076980934849564
98,0.4863265306122449,0.510396036193599
99,0.48424242424242425,0.5129473214952784
100,0.4824,0.5160593149349821
101,0.4803960396039604,0.5182354302654314
102,0.47833333333333333,0.5212674854944207
103,0.4760194174757282,0.5234433119189817
104,0.4743269230769231,0.5259519584651734
105,0.4725714285714286,0.528347183214954
106,0.4699056603773585,0.5299803627340111
107,0.4680373831775701,0.5322115460389912
108,0.46555555555555556,0.5338200836325242
109,0.46357798165137615,0.5361454169280786
110,0.4617272727272727,0.5380595942936841
111,0.4595495495495496,0.539745524797937
112,0.45785714285714285,0.5422968423008949
113,0.4557522123893805,0.5443479850667845
114,0.4531578947368421,0.5459369750843944
115,0.45156521739130434,0.5487676274362753
116,0.44913793103448274,0.5505367893101172
117,0.4471794871794872,0.5525915480288278
118,0.44542372881355935,0.5557651063206994
119,0.4432773109243697,0.5573568736985753
120,0.44083333333333335,0.5586132150595968
121,0.43842975206611573,0.5598770578771126
122,0.4364754098360656,0.5618491848825581
123,0.4343089430894309,0.5636090457959592
124,0.43185483870967745,0.5652531037881
125,0.43016,0.5670579706613956
126,0.4280952380952381,0.5685869971432033
127,0.4262992125984252,0.5703425031836954
128,0.4246875,0.5727434350752034
129,0.42271317829457367,0.5746171046765918
130,0.4203846153846154,0.5758647900705768
131,0.4179389312977099,0.5766887780639035
132,0.4160606060606061,0.5790720526017429
133,0.4142857142857143,0.580972052511112
134,0.41208955223880595,0.582399765308385
135,0.40985185185185186,0.5835979724287211
136,0.4075,0.584546892838706
137,0.4053284671532847,0.5856758676640774
138,0.40318840579710147,0.5867264665332295
139,0.40093525179856115,0.5874075973836989
140,0.39885714285714285,0.588375803475817
141,0.39659574468085107,0.5896859138478833
142,0.3945070422535211,0.5909287036805975
143,0.39237762237762236,0.5921697262106435
144,0.39034722222222223,0.5931081329221769
145,0.38813793103448274,0.5940202478463633
146,0.38602739726027396,0.5949400086799884
147,0.3838095238095238,0.5957866323599393
148,0.3816891891891892,0.5970375117969363
149,0.3795302013422819,0.5978900140836576
150,0.37733333333333335,0.5983621567428095
151,0.3752980132450331,0.5990162385608615
152,0.37342105263157893,0.6010485178061039
153,0.3715686274509804,0.6022316950013529
154,0.36948051948051946,0.6027038376605046
155,0.3676129032258065,0.6037484134699423
156,0.3655128205128205,0.6044533075054795
157,0.3635031847133758,0.6049078143443207
158,0.3616455696202532,0.6061554782049479
159,0.35955974842767296,0.6064816354626398
160,0.357625,0.6069436437579752
161,0.3558385093167702,0.6076094827895677
162,0.35376543209876543,0.6078642701962539
163,0.35184049079754603,0.6083111311256567
164,0.35,0.6088413810133954
165,0.3481212121212121,0.6095462750489324
166,0.3463855421686747,0.6106551875920638
167,0.34467065868263475,0.611511945635831
168,0.34285714285714286,0.6118993383807125
169,0.34106508875739644,0.6123461993101152
170,0.33947058823529414,0.6139087014309976
171,0.3377777777777778,0.614746056351786
172,0.33593023255813953,0.6149397527242269
173,0.3341618497109827,0.6152600313751485
174,0.3324712643678161,0.6157826353534488
175,0.3308,0.6162353748896217
176,0.3291477272727273,0.6165750566635222
177,0.32757062146892657,0.6173692182641655
178,0.32578651685393256,0.6174958005426465
179,0.32424581005586595,0.6180215327795494
180,0.32255555555555554,0.6182909722008876
181,0.32093922651933704,0.6186707190363306
182,0.3192857142857143,0.619181916699427
183,0.3177049180327869,0.6195616635348702
184,0.3160326086956522,0.6196882458133512
185,0.3143783783783784,0.6198148280918322
